idx	name	cid	n_inputs	n_library_spectra	n_raw_matches	n_unique_mri	folder	mode_used	domainmasst_status
1242	Sodium_Palmitate	2735111	1	690.0	53264.0	53246.0	1242_Sodium_Palmitate_e2fda730cf	fasstrecords	done
1121	Aluminum_palmitate	11144	1	690.0	53264.0	53246.0	1121_Aluminum_palmitate_e2fda730cf	fasstrecords	done
1302	Magnesium_Palmitate	9850060	1	690.0	53264.0	53246.0	1302_Magnesium_Palmitate_e2fda730cf	fasstrecords	done
716	Potassium_Palmitate	23676743	1	690.0	53264.0	53246.0	0716_Potassium_Palmitate_e2fda730cf	fasstrecords	done
553	Palmitic_Acid	985	1	690.0	53264.0	53246.0	0553_Palmitic_Acid_e2fda730cf	fasstrecords	done
293	Calcium_Palmitate	9829021	1	690.0	53264.0	53246.0	0293_Calcium_Palmitate_e2fda730cf	fasstrecords	done
1025	LTryptophan	6305	1	1623.0	52326.0	52299.0	1025_LTryptophan_0414751689	fasstrecords	done
1235	Sodium_Pantothenate	23679004	1	530.0	36344.0	36331.0	1235_Sodium_Pantothenate_47ef629dd0	fasstrecords	done
1233	Calcium_Pantothenate	443753	1	530.0	36344.0	36331.0	1233_Calcium_Pantothenate_47ef629dd0	fasstrecords	done
294	Calcium_pantothenate_chloride_	78122658	1	530.0	36344.0	36331.0	0294_Calcium_pantothenate_chloride_ea40e5ade2	fasstrecords	done
1293	Magnesium_Stearate	11177	1	316.0	36013.0	35992.0	1293_Magnesium_Stearate_49fd924b6c	fasstrecords	done
719	Potassium_Stearate	23673840	1	316.0	36013.0	35992.0	0719_Potassium_Stearate_49fd924b6c	fasstrecords	done
933	Precirol	114690	1	316.0	36013.0	35992.0	0933_Precirol_49fd924b6c	fasstrecords	done
884	Octadecanoic_acidhex2ulofuranosyl_hexopyranoside_11	303618	1	316.0	36013.0	35992.0	0884_Octadecanoic_acidhex2ulofuranosyl_hexopyranoside_11_49fd924b6c	fasstrecords	done
1089	Zinc_Stearate	11178	1	316.0	36013.0	35992.0	1089_Zinc_Stearate_49fd924b6c	fasstrecords	done
864	Sodium_Stearate	2724691	1	316.0	36013.0	35992.0	0864_Sodium_Stearate_49fd924b6c	fasstrecords	done
879	123Propanetricarboxylic_acid_2hydroxy_ester_with_123propanetriol_monooctadecanoate	62110	1	316.0	36013.0	35992.0	0879_123Propanetricarboxylic_acid_2hydroxy_ester_with_123propanetriol_monooctadecanoa_49fd924b6c	fasstrecords	done
103	Aluminum_Stearate	12496	1	316.0	36013.0	35992.0	0103_Aluminum_Stearate_49fd924b6c	fasstrecords	done
1310	Stearic_Acid	5281	1	316.0	36013.0	35992.0	1310_Stearic_Acid_49fd924b6c	fasstrecords	done
1311	Calcium_Stearate	15324	1	316.0	36013.0	35992.0	1311_Calcium_Stearate_49fd924b6c	fasstrecords	done
1284	Oleic_Acid	445639	1	571.0	25077.0	25072.0	1284_Oleic_Acid_81e6f63820	fasstrecords	done
292	Calcium_oleate	20838024	1	571.0	25077.0	25072.0	0292_Calcium_oleate_81e6f63820	fasstrecords	done
715	Potassium_Oleate	23665571	1	571.0	25077.0	25072.0	0715_Potassium_Oleate_81e6f63820	fasstrecords	done
1120	Aluminum_oleate	6433210	1	571.0	25077.0	25072.0	1120_Aluminum_oleate_81e6f63820	fasstrecords	done
