scan	spectrum_id	collision_energy	Adduct	Compound_Source	Compound_Name	Precursor_MZ	ExactMass	Charge	Ion_Mode	Smiles	INCHI	InChIKey_smiles	GNPS_library_membership	InChIKey_smiles_firstBlock	matched_pesticide_names	match_method
10951	CCMSLIB00006718059		[M+H]1+		Methamidophos	142.009	141.001336126	1	positive	COP(N)(=O)SC	InChI=1S/C2H8NO2PS/c1-5-6(3,4)7-2/h1-2H3,(H2,3,4)	NNKVPIKMPCQWCG-UHFFFAOYSA-N	GNPS-LIBRARY	NNKVPIKMPCQWCG	Methamidophos	inchikey_firstblock
10953	CCMSLIB00006718061		[M+H]1+		Prometon	226.166	225.158960228	1	positive	COc1nc(NC(C)C)nc(NC(C)C)n1	InChI=1S/C10H19N5O/c1-6(2)11-8-13-9(12-7(3)4)15-10(14-8)16-5/h6-7H,1-5H3,(H2,11,12,13,14,15)	ISEUFVQQFVOBCY-UHFFFAOYSA-N	GNPS-LIBRARY	ISEUFVQQFVOBCY	Prometon	inchikey_firstblock
11029	CCMSLIB00008851478	35.0	[M+H]1+	commercial	Rotenone [M+H]	395.149	394.1416384239999	1	positive	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3	JUVIOZPCNVVQFO-UHFFFAOYSA-N	GNPS-LIBRARY	JUVIOZPCNVVQFO	Rotenone	inchikey_firstblock
11031	CCMSLIB00008851480	35.0	[M+Na]1+	commercial	Rotenone [M+Na]+	417.131	394.1416384239999	1	positive	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	InChI=1S/C23H22O6/c1-11(2)16-8-14-15(28-16)6-5-12-22(24)21-13-7-18(25-3)19(26-4)9-17(13)27-10-20(21)29-23(12)14/h5-7,9,16,20-21H,1,8,10H2,2-4H3	JUVIOZPCNVVQFO-UHFFFAOYSA-N	GNPS-LIBRARY	JUVIOZPCNVVQFO	Rotenone	inchikey_firstblock
13544	CCMSLIB00012052592		[M+H]1+	crude	Cyromazine	167.107	166.09669431999998	1	positive	Nc1nc(N)nc(NC2CC2)n1	InChI=1S/C6H10N6/c7-4-10-5(8)12-6(11-4)9-3-1-2-3/h3H,1-2H2,(H5,7,8,9,10,11,12)	LVQDKIWDGQRHTE-UHFFFAOYSA-N	GNPS-LIBRARY	LVQDKIWDGQRHTE	Cyromazine	inchikey_firstblock
16021	CCMSLIB00000078268	24.0	[M+H]1+	commercial	Thiabendazole	202.043	201.036068224	1	positive	c1ccc2[nH]c(-c3cscn3)nc2c1	InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)	WJCNZQLZVWNLKY-UHFFFAOYSA-N	GNPS-SELLECKCHEM-FDA-PART2	WJCNZQLZVWNLKY	Thiabendazole	inchikey_firstblock
26497	CCMSLIB00000084811	31.0	[M+H]1+	isolated	MLS002207244-01!Thiophanate M23564-05-8	343.055	342.045646928	1	positive	COC(=O)NC(=S)Nc1ccccc1NC(=S)NC(=O)OC	InChI=1S/C12H14N4O4S2/c1-19-11(17)15-9(21)13-7-5-3-4-6-8(7)14-10(22)16-12(18)20-2/h3-6H,1-2H3,(H2,13,15,17,21)(H2,14,16,18,22)	QGHREAKMXXNCOA-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	QGHREAKMXXNCOA	Thiophanate-methyl	inchikey_firstblock
26507	CCMSLIB00000084821	28.0	[M+H]1+	isolated	"""MLS000059188-01!2-methyl-N-phenyl-5,6-dihydro-1,4-oxathiine-3-carboxamide5234-68-4"""	236.076	235.066699656	1	positive	CC1=C(C(=O)Nc2ccccc2)SCCO1	InChI=1S/C12H13NO2S/c1-9-11(16-8-7-15-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)	GYSSRZJIHXQEHQ-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	GYSSRZJIHXQEHQ	Carboxin	inchikey_firstblock
26748	CCMSLIB00000085129	28.0	[M+H]1+	isolated	MLS001304087-01!Imidacloprid138261-41-3	256.06	255.05230224	1	positive	O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1	InChI=1S/C9H10ClN5O2/c10-8-2-1-7(5-12-8)6-14-4-3-11-9(14)13-15(16)17/h1-2,5H,3-4,6H2,(H,11,13)	YWTYJOPNNQFBPC-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	YWTYJOPNNQFBPC	Imidacloprid	inchikey_firstblock
27173	CCMSLIB00000085758	34.0	[M+H]1+	isolated	MLS002207187-01!TEMEPHOS3383-96-8	467.0	465.98972462	1	positive	COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1	InChI=1S/C16H20O6P2S3/c1-17-23(25,18-2)21-13-5-9-15(10-6-13)27-16-11-7-14(8-12-16)22-24(26,19-3)20-4/h5-12H,1-4H3	WWJZWCUNLNYYAU-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	WWJZWCUNLNYYAU	Temephos	inchikey_firstblock
27308	CCMSLIB00000085896	28.0	[M+H]1+	isolated	MLS002207196-01!Dimethoate60-51-5	230.007	228.999621874	1	positive	CNC(=O)CSP(=S)(OC)OC	InChI=1S/C5H12NO3PS2/c1-6-5(7)4-12-10(11,8-2)9-3/h4H2,1-3H3,(H,6,7)	MCWXGJITAZMZEV-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	MCWXGJITAZMZEV	Dimethoate	inchikey_firstblock+smiles_exact
27331	CCMSLIB00000085919	27.0	[M+H]1+	isolated	MLS002207242-01!Propoxur114-26-1	210.113	209.10519334	1	positive	CNC(=O)Oc1ccccc1OC(C)C	InChI=1S/C11H15NO3/c1-8(2)14-9-6-4-5-7-10(9)15-11(13)12-3/h4-8H,1-3H3,(H,12,13)	ISRUGXGCCGIOQO-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	ISRUGXGCCGIOQO	Propoxur	inchikey_firstblock
27388	CCMSLIB00000085978	27.0	[M+H]1+	isolated	MLS000053094-01!THIABENDAZOLE148-79-8	202.043	201.036068224	1	positive	c1ccc2[nH]c(-c3cscn3)nc2c1	InChI=1S/C10H7N3S/c1-2-4-8-7(3-1)12-10(13-8)9-5-14-6-11-9/h1-6H,(H,12,13)	WJCNZQLZVWNLKY-UHFFFAOYSA-N	GNPS-NIH-SMALLMOLECULEPHARMACOLOGICALLYACTIVE	WJCNZQLZVWNLKY	Thiabendazole	inchikey_firstblock
28024	CCMSLIB00001058205	35.0	[M+H]1+	commercial	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate)	238.107	237.10010796	1	positive	CNC(=O)Oc1cccc2c1OC(C)(C)C2O	InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)	RHSUJRQZTQNSLL-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	RHSUJRQZTQNSLL	3-Hydroxycarbofuran	inchikey_firstblock
28025	CCMSLIB00001058207	35.0	[M-H2O+H]1+	commercial	Pesticide3_3-Hydroxycarbofuran_C12H15NO4_3,7-Benzofurandiol, 2,3-dihydro-2,2-dimethyl-, 7-(methylcarbamate)	220.096	237.10010796	1	positive	CNC(=O)Oc1cccc2c1OC(C)(C)C2O	InChI=1S/C12H15NO4/c1-12(2)10(14)7-5-4-6-8(9(7)17-12)16-11(15)13-3/h4-6,10,14H,1-3H3,(H,13,15)	RHSUJRQZTQNSLL-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	RHSUJRQZTQNSLL	3-Hydroxycarbofuran	inchikey_firstblock
28026	CCMSLIB00001058209	35.0	[M+H]1+	commercial	Pesticide3_Dioxacarb_C11H13NO4_Phenol, 2-(1,3-dioxolan-2-yl)-, methylcarbamate	224.091	223.084457896	1	positive	CNC(=O)Oc1ccccc1C1OCCO1	InChI=1S/C11H13NO4/c1-12-11(13)16-9-5-3-2-4-8(9)10-14-6-7-15-10/h2-5,10H,6-7H2,1H3,(H,12,13)	SDKQRNRRDYRQKY-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	SDKQRNRRDYRQKY	Dioxacarb	inchikey_firstblock
28027	CCMSLIB00001058211	35.0	[M+H]1+	commercial	Pesticide3_Fenuron_C9H12N2O_Urea, N,N-dimethyl-N'-phenyl-	165.102	164.094963004	1	positive	CN(C)C(=O)Nc1ccccc1	InChI=1S/C9H12N2O/c1-11(2)9(12)10-8-6-4-3-5-7-8/h3-7H,1-2H3,(H,10,12)	XXOYNJXVWVNOOJ-UHFFFAOYSA-N	GNPS-COLLECTIONS-PESTICIDES-POSITIVE	XXOYNJXVWVNOOJ	Fenuron	inchikey_firstblock
